zfs,0.348503145,46148392
aes.1.bz2,11.270603029,47451832
aes.1.pbz2,4.171493048,47456950
1.bz2.aes.1.bz2,4.480285036,5560637
1.pbz2.aes.1.pbz2,2.602070792,5583279
aes.9.bz2,12.579984444,47390773
aes.9.pbz2,4.96012942,47395579
9.bz2.aes.9.bz2,6.089220785,5178846
9.pbz2.aes.9.pbz2,2.686356093,5277700
aes.1.gz,4.137936043,48512150
aes.1.pgz,2.366301543,48547601
1.gz.aes.1.gz,1.17219803,7345615
1.pgz.aes.1.pgz,0.910990464,7286332
aes.9.gz,4.77512554,47500382
aes.9.pgz,2.566865911,47549975
9.gz.aes.9.gz,9.849733084,6288037
9.pgz.aes.9.pgz,3.125661795,6324876
